description,category,clean_description
clothing ,shopping,clothing
cosmetics,personal care,cosmetics
prescriptions,health,prescriptions
netflix,entertainment,netflix
spotify,entertainment,spotify
amazon prime,entertainment,amazon prime
sporting events,entertainment,sporting events
yoga classes,fitness,yoga classes
subscriptions,entertainment,subscriptions
public transportation,transportation,public transportation
flights,transportation,flights
gifts,gifts,gifts
donations,donations,donations
home repair,housing,home repair
pet expenses,other,pet expenses
medicine,health,medicine
fill petrol,fuel,fill petrol
went beauty parler,grooming,went beauty parler
paid school fees,education,paid school fees
college fees payment,education,college fees payment
petrolled vehicle,fuel,petrolled vehicle
recharge mobile,utilities,recharge mobile
salary credited,income,salary credited
paid gym membership fees,health,paid gym membership fees
purchased jeans shirts,clothes,purchased jeans shirts
paid landlord,utilities,paid landlord
land lord payment,utilities,land lord payment
purchased monthly groceries,groceries,purchased monthly groceries
recharged dishtv,entertainment,recharged dishtv
purchased book,education,purchased book
paid barber,grooming,paid barber
gave party friend,party,gave party friend
cat food purchase,pet expense,cat food purchase
purchased mobile cover,electronic,purchased mobile cover
purchased bread butter,food,purchased bread butter
purchased butter chicken,food,purchased butter chicken
purchased earphones,electronic,purchased earphones
buying vr set,entertainment,buying vr set
purchased new cricket kit,sports,purchased new cricket kit
purchased the badminton bats,sports,purchased badminton bats
paid to the barber,utilities,paid barber
paid to the beauty parler,grooming,paid beauty parler
purchased the grocery ,groceries,purchased grocery
ate icecream,food,ate icecream
ate icecream,food,ate icecream
purchased new tv,entertainment,purchased new tv
paid to the landlord ,utilities,paid landlord
paid the cylinder bill,utilities,paid cylinder bill
purchased new school bag,education,purchased new school bag
today i purchased the college bag,education,today purchased college bag
purchased new college bag,education,purchased new college bag
purchased new football,sports,purchased new football
paid to the beauty parler,grooming,paid beauty parler
paid to the landlord,utilities,paid landlord
attended the concert of honey singh,entertainment,attended concert honey singh
attended concert of neha kakkar,entertainment,attended concert neha kakkar
purchased the new notebook,education,purchased new notebook
purchased bread and butter,food,purchased bread butter
purchased bread and butter,food,purchased bread butter
travelling from home to college,travelling,travelling home college
purchased new cricket kit ,sports,purchased new cricket kit
purchased new cricket kit ,sports,purchased new cricket kit
purchased new facecream,grooming,purchased new facecream
purchased gift for brothers birthday,gift,purchased gift brothers birthday
purchased new notebooks,education,purchased new notebooks
purchased new tshirt  ,clothes,purchased new tshirt
purchased bread and butter ,food,purchased bread butter
paid the wifi bill,utilities,paid wifi bill
paid to the bus driver,transportation,paid bus driver
paid to the beauty parler,grooming,paid beauty parler
keratin treatment,groo,keratin treatment
keratin treatment,grooming,keratin treatment
eat snacks,food,eat snacks
car washing,vehicle expense,car washing
spend money for car washing,vehicle expense,spend money car washing
paid to the barber shop,grooming,paid barber shop
vehicle service,vehicle expense,vehicle service
paid the veg thali bill,food,paid veg thali bill
mess payment,food,mess payment
purchased new cricket bat,sports,purchased new cricket bat
paid the electricity bill,utilities,paid electricity bill
hair keratin,grooming,hair keratin
shopping from market,shopping,shopping market
purchase notebook,education,purchase notebook
paid the gym membership fee,fitness,paid gym membership fee
paid gym membership fee,fitness,paid gym membership fee
purchased vegetables from market,food,purchased vegetables market
Train Fare,travelling,train fare
purchased vegetables from the market,food,purchased vegetables market
purchased fruits and vegetables,food,purchased fruits vegetables
Recharged the mobile ,utilities,recharged mobile
purchased fruits and vegetables ,food,purchased fruits vegetables
purchased tv,entertainment,purchased tv
paid to the barber shop,grooming,paid barber shop
purchased new dish tv,entertainment,purchased new dish tv
purchased tv,entertainment,purchased tv
purchased tv,entertainment,purchased tv
paid to the barber shop,grooming,paid barber shop
purchased cricket bat,sports,purchased cricket bat
purchased groceries,groceries,purchased groceries
purchased fruit and vegetables,food,purchased fruit vegetables
